No,Company,Employees,OutputVat,InputVat,Netvat,Sector,Industry,Year,,,,,,,,
1033,Anthem ,639,9210500,8835500,375000,Health Care,Health Care: Insurance and Managed Care,2019,,,,,,,,
1034,Dell Technologies ,1570,9062100,9293100,-231000,Technology,"Computers, Office Equipment",2019,,,,,,,,
1035,DuPont de Nemours ,980,8597700,8213300,384400,Chemicals,Chemicals,2019,,,,,,,,
1036,State Farm Insurance ,568,8173220,7294380,878840,Financials,Insurance: Property and Casualty (Mutual),2019,,,,,,,,
1037,Johnson & Johnson ,1351,8158100,6628400,1529700,Health Care,Pharmaceuticals,2019,,,,,,,,
1038,IBM ,3811,7959100,7086300,872800,Technology,Information Technology Services,2019,,,,,,,,
1039,Target ,3600,7535600,7241900,293700,Retailing,General Merchandisers,2019,,,,,,,,
1040,Freddie Mac ,66,7359800,6436300,923500,Financials,Diversified Financials,2019,,,,,,,,
1041,United Parcel Service ,3646,7186100,6707000,479100,Transportation,"Mail, Package, and Freight Delivery",2019,,,,,,,,
1042,Lowe’s ,2450,7130900,6899500,231400,Retailing,Specialty Retailers: Other,2019,,,,,,,,
1043,Intel ,1074,7084800,4979500,2105300,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1044,MetLife ,480,6794100,6281800,512300,Financials,"Insurance: Life, Health (stock)",2019,,,,,,,,
1045,Procter & Gamble ,920,6683200,5708200,975000,Household Products,Household and Personal Products,2019,,,,,,,,
1046,United Technologies ,2402,6650100,6123200,526900,Aerospace & Defense,Aerospace and Defense,2019,,,,,,,,
1047,FedEx ,3590,6545000,6087800,457200,Transportation,"Mail, Package, and Freight Delivery",2019,,,,,,,,
1048,PepsiCo ,2670,6466100,5214600,1251500,"Food, Beverages & Tobacco",Food Consumer Products,2019,,,,,,,,
1049,Archer Daniels Midland ,316,6434100,6253100,181000,"Food, Beverages & Tobacco",Food Production,2019,,,,,,,,
1050,Prudential Financial ,505,6299200,5891800,407400,Financials,"Insurance: Life, Health (stock)",2019,,,,,,,,
1051,Centene ,473,6011600,5921600,90000,Health Care,Health Care: Insurance and Managed Care,2019,,,,,,,,
1052,Albertsons ,2750,5992460,5987830,4630,Food & Drug Stores,Food and Drug Stores,2019,,,,,,,,
1053,Walt Disney ,2010,5943400,4683600,1259800,Media,Entertainment,2019,,,,,,,,
1054,Sysco ,670,5872730,5729650,143080,Wholesalers,Wholesalers: Food and Grocery,2019,,,,,,,,
1055,HP ,550,5847200,5314500,532700,Technology,"Computers, Office Equipment",2019,,,,,,,,
1056,Humana ,416,5691200,5522900,168300,Health Care,Health Care: Insurance and Managed Care,2019,,,,,,,,
1057,Facebook ,356,5583800,3372600,2211200,Technology,Internet Services and Retailing,2019,,,,,,,,
1058,Caterpillar ,1040,5472200,4857500,614700,Industrials,Construction and Farm Machinery,2019,,,,,,,,
1059,Energy Transfer ,118,5443600,5274200,169400,Energy,Pipelines,2019,,,,,,,,
1060,Lockheed Martin ,1050,5376200,4871600,504600,Aerospace & Defense,Aerospace and Defense,2019,,,,,,,,
1061,Pfizer ,924,5364700,4249400,1115300,Health Care,Pharmaceuticals,2019,,,,,,,,
1062,Goldman Sachs Group ,366,5252800,4206900,1045900,Financials,Commercial Banks,2019,,,,,,,,
1063,Morgan Stanley ,603,5019300,4144500,874800,Financials,Commercial Banks,2019,,,,,,,,
1064,Cisco Systems ,742,4933000,4922000,11000,Technology,Network and Other Communications Equipment,2019,,,,,,,,
1065,Cigna ,738,4865000,4601300,263700,Health Care,Health Care: Insurance and Managed Care,2019,,,,,,,,
1066,AIG ,496,4738900,4739500,-600,Financials,Insurance: Property and Casualty (Stock),2019,,,,,,,,
1067,HCA Healthcare ,2290,4667700,4289000,378700,Health Care,Health Care: Medical Facilities,2019,,,,,,,,
1068,American Airlines Group ,1289,4454100,4312900,141200,Transportation,Airlines,2019,,,,,,,,
1069,Delta Air Lines ,887,4443800,4050300,393500,Transportation,Airlines,2019,,,,,,,,
1070,Charter Communications ,980,4363400,4240400,123000,Telecommunications,Telecommunications,2019,,,,,,,,
1071,New York Life Insurance ,114,4342530,4254530,88000,Financials,"Insurance: Life, Health (Mutual)",2019,,,,,,,,
1072,American Express ,590,4328100,3636000,692100,Financials,Diversified Financials,2019,,,,,,,,
1073,Nationwide ,305,4327000,4275740,51260,Financials,Insurance: Property and Casualty (Mutual),2019,,,,,,,,
1074,Best Buy ,1250,4287900,4141500,146400,Retailing,Specialty Retailers: Other,2019,,,,,,,,
1075,Liberty Mutual Insurance Group ,500,4268500,4052500,216000,Financials,Insurance: Property and Casualty (Stock),2019,,,,,,,,
1076,Merck ,690,4229400,3607400,622000,Health Care,Pharmaceuticals,2019,,,,,,,,
1077,Honeywell International ,1140,4180200,3503700,676500,Industrials,"Electronics, Electrical Equip.",2019,,,,,,,,
1078,United Continental Holdings ,920,4130300,3917400,212900,Transportation,Airlines,2019,,,,,,,,
1079,TIAA ,176,4105210,3949160,156050,Financials,"Insurance: Life, Health (Mutual)",2019,,,,,,,,
1080,Tyson Foods ,1210,4005200,3702800,302400,"Food, Beverages & Tobacco",Food Production,2019,,,,,,,,
1081,Oracle ,1370,3983100,3600600,382500,Technology,Computer Software,2019,,,,,,,,
1082,Allstate ,454,3981500,3756300,225200,Financials,Insurance: Property and Casualty (Stock),2019,,,,,,,,
1083,World Fuel Services ,50,3975030,3962260,12770,Energy,Energy,2019,,,,,,,,
1084,Massachusetts Mutual Life Insurance ,98,3926720,3886930,39790,Financials,"Insurance: Life, Health (Mutual)",2019,,,,,,,,
1085,TJX ,2700,3897290,3591310,305980,Retailing,Specialty Retailers: Apparel,2019,,,,,,,,
1086,ConocoPhillips ,108,3872700,3247000,625700,Energy,"Mining, Crude-Oil Production",2019,,,,,,,,
1087,Deere ,744,3735770,3498930,236840,Industrials,Construction and Farm Machinery,2019,,,,,,,,
1088,Tech Data ,140,3723900,3689840,34060,Wholesalers,Wholesalers: Electronics and Office Equipment,2019,,,,,,,,
1089,Enterprise Products Partners ,70,3653420,3236180,417240,Energy,Pipelines,2019,,,,,,,,
1090,Nike ,731,3639700,3446400,193300,Apparel,Apparel,2019,,,,,,,,
1091,Publix Super Markets ,2020,3639570,3401450,238120,Food & Drug Stores,Food and Drug Stores,2019,,,,,,,,
1092,General Dynamics ,1056,3619300,3284800,334500,Aerospace & Defense,Aerospace and Defense,2019,,,,,,,,
1093,Exelon ,334,3598500,3397500,201000,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1094,Plains GP Holdings ,49,3405500,3372100,33400,Energy,Pipelines,2019,,,,,,,,
1095,3M ,935,3276500,2741600,534900,Industrials,Miscellaneous,2019,,,,,,,,
1096,AbbVie ,300,3275300,2706600,568700,Health Care,Pharmaceuticals,2019,,,,,,,,
1097,CHS ,105,3268330,3190740,77590,"Food, Beverages & Tobacco",Food Production,2019,,,,,,,,
1098,Capital One Financial ,476,3237700,2636200,601500,Financials,Commercial Banks,2019,,,,,,,,
1099,Progressive ,373,3197900,2936370,261530,Financials,Insurance: Property and Casualty (Stock),2019,,,,,,,,
1100,Coca-Cola ,626,3185600,2542200,643400,"Food, Beverages & Tobacco",Beverages,2019,,,,,,,,
1101,USAA ,337,3136780,2907590,229190,Financials,Insurance: Property and Casualty (Stock),2019,,,,,,,,
1102,Hewlett Packard Enterprise ,600,3085200,2894400,190800,Technology,"Computers, Office Equipment",2019,,,,,,,,
1103,Abbott Laboratories ,1030,3057800,2821000,236800,Health Care,Medical Products and Equipment,2019,,,,,,,,
1104,Twenty-First Century Fox ,224,3040000,2593600,446400,Media,Entertainment,2019,,,,,,,,
1105,Micron Technology ,360,3039100,1625600,1413500,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1106,Travelers ,304,3028200,2775900,252300,Financials,Insurance: Property and Casualty (Stock),2019,,,,,,,,
1107,Rite Aid ,484,3021540,2927190,94350,Food & Drug Stores,Food and Drug Stores,2019,,,,,,,,
1108,Northrop Grumman ,850,3009500,2686600,322900,Aerospace & Defense,Aerospace and Defense,2019,,,,,,,,
1109,Arrow Electronics ,201,2967680,2896060,71620,Wholesalers,Wholesalers: Electronics and Office Equipment,2019,,,,,,,,
1110,Philip Morris International ,774,2962500,2171400,791100,"Food, Beverages & Tobacco",Tobacco,2019,,,,,,,,
1111,Northwestern Mutual ,59,2912400,2834100,78300,Financials,"Insurance: Life, Health (Mutual)",2019,,,,,,,,
1112,INTL FCStone ,17,2762270,2756720,5550,Financials,Diversified Financials,2019,,,,,,,,
1113,PBF Energy ,33,2718610,2705780,12830,Energy,Petroleum Refining,2019,,,,,,,,
1114,Raytheon ,670,2705800,2414900,290900,Aerospace & Defense,Aerospace and Defense,2019,,,,,,,,
1115,Kraft Heinz ,390,2625900,3648800,-1022900,"Food, Beverages & Tobacco",Food Consumer Products,2019,,,,,,,,
1116,Mondelez International ,800,2593800,2255700,338100,"Food, Beverages & Tobacco",Food Consumer Products,2019,,,,,,,,
1117,U.S. Bancorp ,758,2577500,1867900,709600,Financials,Commercial Banks,2019,,,,,,,,
1118,Macy’s ,1300,2573900,2463100,110800,Retailing,General Merchandisers,2019,,,,,,,,
1119,Dollar General ,1350,2562500,2403550,158950,Retailing,Specialty Retailers: Other,2019,,,,,,,,
1120,Nucor ,263,2506730,2270650,236080,Materials,Metals,2019,,,,,,,,
1121,Starbucks ,2910,2471950,2020120,451830,"Hotels, Restaurants & Leisure",Food Services,2019,,,,,,,,
1122,DXC Technology ,1500,2455600,2280500,175100,Technology,Information Technology Services,2019,,,,,,,,
1123,Eli Lilly ,387,2455570,2132370,323200,Health Care,Pharmaceuticals,2019,,,,,,,,
1124,Thermo Fisher Scientific ,692,2435800,2142000,293800,Technology,"Scientific,Photographic and Control Equipment",2019,,,,,,,,
1125,US Foods Holding ,249,2417500,2376800,40700,Wholesalers,Wholesalers: Food and Grocery,2019,,,,,,,,
1126,Duke Energy ,301,2411600,2145000,266600,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1127,Halliburton ,600,2399500,2233900,165600,Energy,"Oil and Gas Equipment, Services",2019,,,,,,,,
1128,Cummins ,626,2377100,2163000,214100,Industrials,Industrial Machinery,2019,,,,,,,,
1129,Amgen ,215,2374700,1535300,839400,Health Care,Pharmaceuticals,2019,,,,,,,,
1130,Paccar ,280,2349570,2130060,219510,Industrials,Construction and Farm Machinery,2019,,,,,,,,
1131,Southern ,303,2349500,2126900,222600,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1132,CenturyLink ,450,2344300,2517600,-173300,Telecommunications,Telecommunications,2019,,,,,,,,
1133,International Paper ,530,2330600,2129400,201200,Materials,"Packaging, Containers",2019,,,,,,,,
1134,Union Pacific ,420,2283200,1686600,596600,Transportation,Railroads,2019,,,,,,,,
1135,Dollar Tree ,1197,2282330,2441410,-159080,Retailing,Specialty Retailers: Other,2019,,,,,,,,
1136,Penske Automotive Group ,270,2278510,2231410,47100,Retailing,"Automotive Retailing, Services",2019,,,,,,,,
1137,Qualcomm ,354,2273200,2759600,-486400,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1138,Bristol-Myers Squibb ,233,2256100,1764100,492000,Health Care,Pharmaceuticals,2019,,,,,,,,
1139,Gilead Sciences ,110,2212700,1667200,545500,Health Care,Pharmaceuticals,2019,,,,,,,,
1140,Jabil ,1990,2209540,2200910,8630,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1141,ManpowerGroup ,300,2199120,2143450,55670,Business Services,Temporary Help,2019,,,,,,,,
1142,Southwest Airlines ,588,2196500,1950000,246500,Transportation,Airlines,2019,,,,,,,,
1143,Aflac ,114,2175800,1883800,292000,Financials,"Insurance: Life, Health (stock)",2019,,,,,,,,
1144,Tesla ,488,2146130,2243740,-97610,Motor Vehicles & Parts,Motor Vehicles and Parts,2019,,,,,,,,
1145,AutoNation ,260,2141280,2101680,39600,Retailing,"Automotive Retailing, Services",2019,,,,,,,,
1146,CBRE Group ,900,2134010,2027690,106320,Financials,Real estate,2019,,,,,,,,
1147,Lear ,1690,2114850,1999870,114980,Motor Vehicles & Parts,Motor Vehicles and Parts,2019,,,,,,,,
1148,Whirlpool ,920,2103700,2122000,-18300,Industrials,"Electronics, Electrical Equip.",2019,,,,,,,,
1149,McDonald’s ,2100,2102520,1510090,592430,"Hotels, Restaurants & Leisure",Food Services,2019,,,,,,,,
1150,Broadcom ,150,2084800,858900,1225900,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1151,Marriott International ,1760,2075800,1885100,190700,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",2019,,,,,,,,
1152,Western Digital ,716,2064700,1997200,67500,Technology,"Computers, Office Equipment",2019,,,,,,,,
1153,Visa ,170,2060900,1030800,1030100,Business Services,Financial Data Services,2019,,,,,,,,
1154,Lennar ,116,2057160,1887580,169580,Engineering & Construction,Homebuilders,2019,,,,,,,,
1155,WellCare Health Plans ,120,2041410,1997430,43980,Health Care,Health Care: Insurance and Managed Care,2019,,,,,,,,
1156,Kohl’s ,815,2022900,1942800,80100,Retailing,General Merchandisers,2019,,,,,,,,
1157,AECOM ,870,2015550,2001900,13650,Engineering & Construction,"Engineering, Construction",2019,,,,,,,,
1158,Synnex ,2316,2005380,1975320,30060,Wholesalers,Wholesalers: Electronics and Office Equipment,2019,,,,,,,,
1159,PNC Financial Services ,520,1999300,1469200,530100,Financials,Commercial Banks,2019,,,,,,,,
1160,Danaher ,710,1989300,1724210,265090,Health Care,Medical Products and Equipment,2019,,,,,,,,
1161,Hartford Financial Services ,185,1982700,1802000,180700,Financials,Insurance: Property and Casualty (Stock),2019,,,,,,,,
1162,Altria Group ,83,1962700,1266400,696300,"Food, Beverages & Tobacco",Tobacco,2019,,,,,,,,
1163,Bank of New York Mellon ,513,1921400,1494800,426600,Financials,Commercial Banks,2019,,,,,,,,
1164,Fluor ,533,1916660,1894180,22480,Engineering & Construction,"Engineering, Construction",2019,,,,,,,,
1165,Avnet ,154,1903690,1919330,-15640,Wholesalers,Wholesalers: Electronics and Office Equipment,2019,,,,,,,,
1166,Icahn Enterprises ,290,1897900,1747200,150700,Financials,Diversified Financials,2019,,,,,,,,
1167,Occidental Petroleum ,110,1893400,1480300,413100,Energy,"Mining, Crude-Oil Production",2019,,,,,,,,
1168,Molina Healthcare ,110,1889000,1818300,70700,Health Care,Health Care: Insurance and Managed Care,2019,,,,,,,,
1169,Genuine Parts ,500,1873510,1792460,81050,Wholesalers,Wholesalers: Diversified,2019,,,,,,,,
1170,Freeport-McMoRan ,268,1862800,1602600,260200,Energy,"Mining, Crude-Oil Production",2019,,,,,,,,
1171,Kimberly-Clark ,410,1848600,1707600,141000,Household Products,Household and Personal Products,2019,,,,,,,,
1172,Tenet Healthcare ,1028,1831300,1820200,11100,Health Care,Health Care: Medical Facilities,2019,,,,,,,,
1173,Synchrony Financial ,165,1825300,1546300,279000,Financials,Diversified Financials,2019,,,,,,,,
1174,CarMax ,251,1797680,1731270,66410,Retailing,"Automotive Retailing, Services",2019,,,,,,,,
1175,HollyFrontier ,36,1771470,1661670,109800,Energy,Petroleum Refining,2019,,,,,,,,
1176,Performance Food Group ,150,1761990,1742120,19870,Wholesalers,Wholesalers: Food and Grocery,2019,,,,,,,,
1177,Sherwin-Williams ,534,1753450,1642580,110870,Chemicals,Chemicals,2019,,,,,,,,
1178,Emerson Electric ,875,1740800,1520500,220300,Industrials,Industrial Machinery,2019,,,,,,,,
1179,NGL Energy Partners ,24,1728270,1735360,-7090,Energy,Energy,2019,,,,,,,,
1180,XPO Logistics ,1000,1727900,1685700,42200,Transportation,Transportation and Logistics,2019,,,,,,,,
1181,EOG Resources ,28,1727540,1385640,341900,Energy,"Mining, Crude-Oil Production",2019,,,,,,,,
1182,Applied Materials ,210,1725300,1394000,331300,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1183,PG&E ,240,1675900,2361000,-685100,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1184,NextEra Energy ,143,1672700,1008900,663800,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1185,C.H. Robinson Worldwide ,153,1663120,1596670,66450,Transportation,Transportation and Logistics,2019,,,,,,,,
1186,Gap ,1350,1658000,1557700,100300,Retailing,Specialty Retailers: Apparel,2019,,,,,,,,
1187,Lincoln National ,110,1642400,1478300,164100,Financials,"Insurance: Life, Health (stock)",2019,,,,,,,,
1188,DaVita ,777,1636860,1620920,15940,Health Care,Health Care: Medical Facilities,2019,,,,,,,,
1189,Jones Lang LaSalle ,900,1631840,1583390,48450,Financials,Real estate,2019,,,,,,,,
1190,WestRock ,451,1628510,1437900,190610,Materials,"Packaging, Containers",2019,,,,,,,,
1191,CDW ,90,1624050,1559750,64300,Technology,Information Technology Services,2019,,,,,,,,
1192,American Electric Power ,176,1619570,1427190,192380,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1193,Cognizant Technology Solutions ,2816,1612500,1402400,210100,Technology,Information Technology Services,2019,,,,,,,,
1194,D.R. Horton ,84,1606800,1460770,146030,Engineering & Construction,Homebuilders,2019,,,,,,,,
1195,Becton Dickinson ,760,1598300,1567200,31100,Health Care,Medical Products and Equipment,2019,,,,,,,,
1196,Nordstrom ,740,1586000,1529600,56400,Retailing,General Merchandisers,2019,,,,,,,,
1197,Netflix ,71,1579430,1458310,121120,Media,Entertainment,2019,,,,,,,,
1198,Aramark ,2272,1578960,1522170,56790,Business Services,Diversified Outsourcing Services,2019,,,,,,,,
1199,Texas Instruments ,299,1578400,1020400,558000,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1200,General Mills ,400,1574040,1360940,213100,"Food, Beverages & Tobacco",Food Consumer Products,2019,,,,,,,,
1201,Supervalu ,230,1567900,1563400,4500,Food & Drug Stores,Food and Drug Stores,2019,,,,,,,,
1202,Colgate-Palmolive ,345,1554400,1314400,240000,Household Products,Household and Personal Products,2019,,,,,,,,
1203,Goodyear Tire & Rubber ,640,1547500,1478200,69300,Motor Vehicles & Parts,Motor Vehicles and Parts,2019,,,,,,,,
1204,PayPal Holdings ,218,1545100,1339400,205700,Business Services,Financial Data Services,2019,,,,,,,,
1205,PPG Industries ,473,1537400,1403300,134100,Chemicals,Chemicals,2019,,,,,,,,
1206,Omnicom Group ,704,1529020,1396380,132640,Business Services,"Advertising, marketing",2019,,,,,,,,
1207,Celgene ,89,1528100,1123500,404600,Health Care,Pharmaceuticals,2019,,,,,,,,
1208,Jacobs Engineering Group ,776,1498460,1482120,16340,Engineering & Construction,"Engineering, Construction",2019,,,,,,,,
1209,Ross Stores ,881,1498350,1339600,158750,Retailing,Specialty Retailers: Apparel,2019,,,,,,,,
1210,Mastercard ,148,1495000,909100,585900,Business Services,Financial Data Services,2019,,,,,,,,
1211,Marsh & McLennan ,660,1495000,1330000,165000,Financials,Diversified Financials,2019,,,,,,,,
1212,Land O’Lakes ,100,1493620,1468170,25450,"Food, Beverages & Tobacco",Food Consumer Products,2019,,,,,,,,
1213,Waste Management ,437,1491400,1298900,192500,Business Services,Waste Management,2019,,,,,,,,
1214,Illinois Tool Works ,480,1476800,1220500,256300,Industrials,Industrial Machinery,2019,,,,,,,,
1215,Ecolab ,490,1466820,1323910,142910,Chemicals,Chemicals,2019,,,,,,,,
1216,Booking Holdings ,245,1452700,1052900,399800,Technology,Internet Services and Retailing,2019,,,,,,,,
1217,CBS ,148,1451400,1255400,196000,Media,Entertainment,2019,,,,,,,,
1218,Parker-Hannifin ,572,1430240,1324160,106080,Industrials,Industrial Machinery,2019,,,,,,,,
1219,Principal Financial ,165,1423720,1269070,154650,Financials,"Insurance: Life, Health (stock)",2019,,,,,,,,
1220,DTE Energy ,106,1421200,1309200,112000,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1221,BlackRock ,149,1419800,989300,430500,Financials,Securities,2019,,,,,,,,
1222,United States Steel ,290,1417800,1306300,111500,Materials,Metals,2019,,,,,,,,
1223,Community Health Systems ,785,1415500,1494300,-78800,Health Care,Health Care: Medical Facilities,2019,,,,,,,,
1224,Kinder Morgan ,110,1414400,1253500,160900,Energy,Pipelines,2019,,,,,,,,
1225,Qurate Retail ,272,1407000,1315400,91600,Retailing,Internet Services and Retailing,2019,,,,,,,,
1226,Loews ,179,1406600,1343000,63600,Financials,Insurance: Property and Casualty (Stock),2019,,,,,,,,
1227,Arconic ,430,1401400,1337200,64200,Aerospace & Defense,Aerospace and Defense,2019,,,,,,,,
1228,Stanley Black & Decker ,608,1398240,1337720,60520,Household Products,"Home Equipment, Furnishings",2019,,,,,,,,
1229,Textron ,350,1397200,1275000,122200,Aerospace & Defense,Aerospace and Defense,2019,,,,,,,,
1230,Las Vegas Sands ,515,1372900,1131600,241300,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",2019,,,,,,,,
1231,Estee Lauder ,460,1368300,1257500,110800,Household Products,Household and Personal Products,2019,,,,,,,,
1232,DISH Network ,160,1362130,1204620,157510,Telecommunications,Telecommunications,2019,,,,,,,,
1233,Stryker ,360,1360100,1004800,355300,Health Care,Medical Products and Equipment,2019,,,,,,,,
1234,Kellogg ,340,1354700,1221100,133600,"Food, Beverages & Tobacco",Food Consumer Products,2019,,,,,,,,
1235,Biogen ,78,1345290,902220,443070,Health Care,Pharmaceuticals,2019,,,,,,,,
1236,Alcoa ,140,1340300,1317600,22700,Materials,Metals,2019,,,,,,,,
1237,Anadarko Petroleum ,47,1338200,1276700,61500,Energy,"Mining, Crude-Oil Production",2019,,,,,,,,
1238,Dominion Energy ,161,1336600,1091900,244700,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1239,ADP ,570,1332580,1170500,162080,Business Services,Diversified Outsourcing Services,2019,,,,,,,,
1240,salesforce.com ,350,1328200,1217200,111000,Technology,Computer Software,2019,,,,,,,,
1241,L Brands ,572,1323690,1259300,64390,Retailing,Specialty Retailers: Apparel,2019,,,,,,,,
1242,Henry Schein ,226,1320200,1266610,53590,Health Care,Wholesalers: Health Care,2019,,,,,,,,
1243,Newell Brands ,370,1303310,1995100,-691790,Household Products,"Home Equipment, Furnishings",2019,,,,,,,,
1244,Guardian Life Ins. Co. of America ,96,1301490,1255000,46490,Financials,"Insurance: Life, Health (Mutual)",2019,,,,,,,,
1245,BJ’s Wholesale Club ,264,1300730,1288000,12730,Retailing,General Merchandisers,2019,,,,,,,,
1246,BB&T Corp. ,359,1299600,975900,323700,Financials,Commercial Banks,2019,,,,,,,,
1247,State Street Corp. ,401,1297300,1037400,259900,Financials,Commercial Banks,2019,,,,,,,,
1248,Viacom ,109,1294300,1122400,171900,Media,Entertainment,2019,,,,,,,,
1249,Ameriprise Financial ,141,1292400,1082600,209800,Financials,Diversified Financials,2019,,,,,,,,
1250,Core-Mark Holding ,81,1290390,1285840,4550,Wholesalers,Wholesalers: Food and Grocery,2019,,,,,,,,
1251,Reinsurance Group of America ,28,1287570,1215990,71580,Financials,"Insurance: Life, Health (stock)",2019,,,,,,,,
1252,VF ,690,1286230,1220370,65860,Apparel,Apparel,2019,,,,,,,,
1253,Discover Financial Services ,166,1284800,1010600,274200,Financials,Commercial Banks,2019,,,,,,,,
1254,Global Partners ,25,1267260,1256870,10390,Wholesalers,Wholesalers: Diversified,2019,,,,,,,,
1255,Edison International ,126,1265700,1308000,-42300,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1256,Oneok ,27,1259320,1144150,115170,Energy,Pipelines,2019,,,,,,,,
1257,Murphy USA ,68,1252400,1231040,21360,Retailing,Specialty Retailers: Other,2019,,,,,,,,
1258,Bed Bath & Beyond ,650,1234930,1192440,42490,Retailing,Specialty Retailers: Other,2019,,,,,,,,
1259,Consolidated Edison ,153,1233700,1095500,138200,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1260,CSX ,225,1225000,894100,330900,Transportation,Railroads,2019,,,,,,,,
1261,J.C. Penney ,950,1201900,1227400,-25500,Retailing,General Merchandisers,2019,,,,,,,,
1262,LKQ ,510,1187670,1139660,48010,Wholesalers,Wholesalers: Diversified,2019,,,,,,,,
1263,FirstEnergy ,125,1186400,1051600,134800,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1264,Steel Dynamics ,82,1182180,1056340,125840,Materials,Metals,2019,,,,,,,,
1265,Lithia Motors ,136,1182140,1155570,26570,Retailing,"Automotive Retailing, Services",2019,,,,,,,,
1266,MGM Resorts International ,745,1176310,1129630,46680,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",2019,,,,,,,,
1267,Tenneco ,810,1176300,1170800,5500,Motor Vehicles & Parts,Motor Vehicles and Parts,2019,,,,,,,,
1268,Nvidia ,133,1171600,757500,414100,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1269,Sempra Energy ,168,1168700,1063800,104900,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1270,Farmers Insurance Exchange ,127,1165040,1172090,-7050,Financials,Insurance: Property and Casualty (Mutual),2019,,,,,,,,
1271,Ball ,175,1163500,1118100,45400,Materials,"Packaging, Containers",2019,,,,,,,,
1272,Group 1 Automotive ,146,1160140,1144360,15780,Retailing,"Automotive Retailing, Services",2019,,,,,,,,
1273,Unum Group ,96,1159850,1107510,52340,Financials,"Insurance: Life, Health (stock)",2019,,,,,,,,
1274,Xcel Energy ,111,1153700,1027600,126100,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1275,Reliance Steel & Aluminum ,156,1153450,1090080,63370,Materials,Metals,2019,,,,,,,,
1276,Huntsman ,100,1152700,1119000,33700,Chemicals,Chemicals,2019,,,,,,,,
1277,Norfolk Southern ,267,1145800,879200,266600,Transportation,Railroads,2019,,,,,,,,
1278,Laboratory Corp. of America ,610,1133340,1044970,88370,Health Care,Health Care: Pharmacy and Other Services,2019,,,,,,,,
1279,Corning ,515,1129000,1022400,106600,Industrials,"Electronics, Electrical Equip.",2019,,,,,,,,
1280,Expedia Group ,245,1122300,1081700,40600,Retailing,Internet Services and Retailing,2019,,,,,,,,
1281,AutoZone ,725,1122110,988360,133750,Retailing,Specialty Retailers: Other,2019,,,,,,,,
1282,W.W. Grainger ,239,1122100,1043900,78200,Wholesalers,Wholesalers: Diversified,2019,,,,,,,,
1283,Quanta Services ,392,1117140,1087810,29330,Engineering & Construction,"Engineering, Construction",2019,,,,,,,,
1284,Crown Holdings ,334,1115100,1071200,43900,Materials,"Packaging, Containers",2019,,,,,,,,
1285,Office Depot ,440,1113000,1102600,10400,Retailing,Specialty Retailers: Other,2019,,,,,,,,
1286,Baxter International ,500,1112700,950300,162400,Health Care,Medical Products and Equipment,2019,,,,,,,,
1287,Lam Research ,109,1107700,869630,238070,Technology,Semiconductors and Other Electronic Components,2019,,,,,,,,
1288,Entergy ,137,1100950,1016080,84870,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1289,Charles Schwab ,195,1098900,748200,350700,Financials,Securities,2019,,,,,,,,
1290,L3 Technologies ,310,1084100,983600,100500,Aerospace & Defense,Aerospace and Defense,2019,,,,,,,,
1291,NRG Energy ,49,1079700,1052900,26800,Energy,Energy,2019,,,,,,,,
1292,Live Nation Entertainment ,160,1078780,1072760,6020,Media,Entertainment,2019,,,,,,,,
1293,Universal Health Services ,757,1077230,999260,77970,Health Care,Health Care: Medical Facilities,2019,,,,,,,,
1294,Molson Coors Brewing ,178,1076960,965310,111650,"Food, Beverages & Tobacco",Beverages,2019,,,,,,,,
1295,eBay ,140,1074600,821600,253000,Technology,Internet Services and Retailing,2019,,,,,,,,
1296,AES ,90,1073600,953300,120300,Energy,Utilities: Gas and Electric,2019,,,,,,,,
1297,Devon Energy ,29,1073400,767000,306400,Energy,"Mining, Crude-Oil Production",2019,,,,,,,,
1298,Pacific Life ,38,1069900,978600,91300,Financials,"Insurance: Life, Health (stock)",2019,,,,,,,,
